Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,RegistrationDate
no,,yess,1,2.27,2.0,32.4,122,40.19,6.56,8.7,2023-07-01
No,6.0,yess,0,0.0,2.0,179.2,111,46.74,8.78,10.0,2026-07-14
No ,189.0,yes,0,0.0,1.0,88.0,76,39.83,13.09,9.1,2023-01-10
NO,93.0,YES,0,0.0,1.0,37.0,61,21.77,9.0,12.6,2024-11-09
false,50.0,yes,0,0.0,1.0,272.0,120,64.41,9.86,5.9,2025-09-09
No,54.0,yes,0,0.0,0.0,95.4,92,29.02,7.48,10.1,2025-08-09
SI,63.0,YES,0,0.0,6.0,161.5,78,42.52,8.99,9.6,2025-06-13
No,191.0,Yes,0,0.0,0.0,173.0,64,,9.83,10.6,2022-12-24
1,97.0,yes,1,2.85,3.0,228.5,102,81.65,9.06,10.5,2024-10-15
no,0.0,NO,1,2.17,3.0,223.3,118,78.41,10.36,8.2,2026-08-26
No,151.0,yess,0,0.0,3.0,193.4,98,62.46,15.66,7.8,2023-10-02
false,21.0,yes,0,0.0,3.0,227.5,92,53.09,7.62,9.3,2026-03-29
NO,20.0,yes,0,0.0,0.0,158.5,137,48.54,11.12,11.4,2026-04-07
NO,28.0,yes,0,0.0,1.0,220.5,125,49.67,7.3,9.6,2026-02-11
NO,174.0,YES,0,0.0,0.0,208.9,117,50.08,8.22,9.3,2023-04-27
NO,71.0,yes,0,0.0,3.0,146.1,92,44.65,10.93,10.8,2025-04-17
false,167.0,yes,0,0.0,3.0,144.4,87,39.46,7.08,10.9,2023-06-10
NO,20.0,YES,0,0.0,1.0,181.7,104,56.25,12.61,11.1,2026-04-06
0,99.0,yes ,1,2.97,2.0,153.6,86,74.24,10.71,10.8,2024-09-29
No,194.0,yes,0,0.0,2.0,143.7,95,37.87,7.25,10.1,2022-12-03
no,67.0,Yes,1,2.42,2.0,143.6,112,65.74,9.79,8.9,2025-05-12
NO,30.0,yes,0,0.0,2.0,219.9,114,56.04,10.25,12.0,2026-01-27
No,45.0,yes,0,0.0,1.0,218.1,139,52.35,7.91,11.1,2025-10-17
false,186.0,Yes,1,2.74,0.0,152.9,109,74.24,10.92,10.3,2023-01-30
YES,205.0,yes,0,0.0,4.0,140.1,120,44.18,11.49,7.8,2022-09-17
False,26.0,yes,0,0.0,2.0,194.5,121,57.47,12.11,9.7,2026-02-27
No,92.0,yes,0,0.0,0.0,185.3,120,41.83,6.08,10.9,2024-11-20
True,89.0,Yes,0,0.0,,63.1,89,25.28,8.51,5.7,2024-12-07
NO,147.0,YES,0,0.0,0.0,158.1,94,50.47,13.95,8.8,2023-10-29
False,32.0,yes ,0,0.0,1.0,183.6,101,52.36,9.75,7.7,2026-01-14
0,171.0,no,0,0.0,2.0,183.8,102,44.21,7.03,10.5,2023-05-17
No,168.0,yes ,1,3.99,0.0,213.1,101,97.29,11.93,14.7,2023-06-06
False,159.0,yes,0,0.0,3.0,213.4,114,,10.8,11.9,2023-08-10
False,141.0,yes,0,0.0,0.0,135.8,114,38.43,8.27,9.6,2023-12-13
no,172.0,yes,0,0.0,3.0,205.0,125,49.85,8.97,12.4,2023-05-07
si,3.0,yes,0,0.0,0.0,274.7,91,66.73,11.52,6.2,2026-08-05
Si,153.0,yes,0,0.0,0.0,336.4,117,74.25,9.6,10.5,2023-09-17
False,165.0,yes,0,0.0,0.0,246.1,101,52.45,6.43,11.7,2023-06-26
No ,160.0,yes,0,0.0,1.0,233.0,109,56.38,9.35,9.2,2023-07-29
No ,31.0,yes,0,0.0,2.0,171.6,103,51.46,12.53,10.6,2026-01-23
NO,17.0,NO,1,2.98,1.0,174.3,106,73.09,7.59,11.1,2026-04-26
No ,99.0,yess,0,0.0,2.0,169.6,103,50.94,12.86,10.5,2024-09-30
No,166.0,yes ,1,2.46,1.0,202.8,87,80.67,13.02,9.2,2023-06-22
No ,100.0,yes ,1,2.86,1.0,142.4,104,61.08,4.37,10.9,2024-09-25
No,11.0,YES,0,0.0,1.0,166.3,112,52.83,12.8,5.3,2026-06-06
0,37.0,yess,1,2.63,1.0,148.6,67,67.31,8.68,10.1,2025-12-07
si,204.0,Yes,0,0.0,0.0,222.9,98,52.32,8.4,4.7,2022-09-30
NO,184.0,yes,0,0.0,3.0,162.9,119,51.92,14.37,7.0,2023-02-17
No,66.0,yes,1,4.19,0.0,236.5,73,101.01,11.38,15.4,2025-05-23
0,120.0,yes,0,0.0,1.0,169.3,121,42.99,8.35,12.2,2024-05-09
No,86.0,yes ,1,2.89,1.0,76.5,140,,10.33,10.8,2025-01-01
No,157.0,yes ,0,0.0,1.0,176.7,111,54.13,14.35,13.1,2023-08-20
false,129.0,yes,1,3.45,2.0,180.9,112,84.97,10.91,12.7,2024-03-08
No,2.0,Yes,1,2.75,1.0,287.4,79,103.66,15.74,10.4,2026-08-13
No ,196.0,yes,0,0.0,2.0,102.4,88,39.01,12.3,9.2,
No,129.0,yes ,0,0.0,0.0,131.0,83,35.79,7.82,13.3,2024-03-07
NO,85.0,yes ,1,2.74,0.0,268.3,113,92.44,11.07,10.4,2025-01-08
si,2.0,no,0,0.0,2.0,138.4,95,35.38,6.74,12.3,2026-08-10
No,55.0,yes,1,2.63,2.0,218.0,60,81.21,9.85,9.9,2025-08-07
SI,174.0,yes,0,0.0,,323.8,48,76.48,11.89,13.1,2023-04-27
false,179.0,yes ,0,0.0,2.0,235.3,102,56.32,9.83,8.4,2023-03-22
no,25.0,yes,0,0.0,0.0,159.7,103,49.69,13.06,14.0,2026-03-03
No,143.0,yes,1,,3.0,106.7,116,60.08,11.83,7.8,2023-11-26
YES,2.0,No,0,0.0,3.0,252.6,120,61.62,10.55,11.9,2026-08-14
false,180.0,yes,0,0.0,1.0,116.3,106,31.61,6.26,9.3,2023-03-13
false,30.0,yes ,0,0.0,1.0,135.0,103,,7.68,9.4,2026-01-28
False,111.0,YES,0,0.0,2.0,251.4,123,60.61,9.97,9.7,2024-07-11
No,33.0,yes,0,0.0,2.0,114.7,79,31.62,7.39,10.8,2026-01-04
0,119.0,yes ,0,0.0,1.0,167.3,106,45.66,9.99,10.6,2024-05-17
No,97.0,yes,1,2.22,0.0,175.0,94,69.31,9.72,8.3,2024-10-14
No,54.0,no,0,0.0,1.0,63.0,112,27.51,10.05,8.9,2025-08-11
false,,yes ,0,0.0,1.0,189.5,100,55.95,12.3,9.5,2024-12-23
No,79.0,yes,0,0.0,0.0,212.4,103,53.17,10.3,5.6,2025-02-17
Yes,3.0,yess,0,0.0,2.0,237.6,92,,9.88,11.4,2026-08-02
No ,202.0,yes ,1,2.03,2.0,193.2,105,65.87,7.66,7.3,2022-10-12
false,130.0,yes,0,0.0,1.0,166.0,90,47.45,8.29,8.5,2024-02-28
0,141.0,yes,0,0.0,1.0,240.0,87,52.91,7.05,7.2,2023-12-15
No,161.0,yess,0,0.0,2.0,103.2,103,,6.93,9.0,2023-07-26
No ,135.0,Yes,0,0.0,1.0,170.9,86,52.71,14.0,12.4,2024-01-24
No,63.0,yess,0,0.0,1.0,190.5,110,47.16,8.31,13.9,2025-06-12
no,160.0,yess,0,0.0,3.0,231.3,118,59.27,11.25,7.6,2023-08-04
no,75.0,yes,0,0.0,2.0,186.2,89,54.03,12.7,12.2,2025-03-20
No,169.0,yes,1,4.48,2.0,209.9,109,91.1,5.75,16.7,2023-05-31
false,171.0,yes,0,0.0,0.0,218.4,108,,12.13,12.1,2023-05-13
False,57.0,yes,0,0.0,2.0,181.4,102,59.4,16.62,11.2,2025-07-24
0,17.0,yess,0,0.0,1.0,116.7,132,41.68,12.32,5.3,2026-04-25
False,121.0,Yes,0,0.0,1.0,191.4,108,,7.57,7.4,2024-04-29
NO,38.0,yes,0,0.0,3.0,210.7,109,51.92,9.37,6.3,2025-12-02
YES,114.0,yes ,0,0.0,2.0,316.4,102,67.97,8.5,5.6,2024-06-21
Si,136.0,yes ,0,,1.0,264.8,124,65.32,12.28,14.9,2024-01-17
No,,yes ,1,3.01,2.0,67.2,115,64.96,12.15,11.5,
no,32.0,yes,0,0.0,1.0,144.5,115,38.15,7.51,8.7,2026-01-10
si,35.0,no,0,0.0,1.0,180.7,72,45.8,8.44,13.7,2025-12-24
NO,115.0,yess,1,2.26,3.0,88.5,100,65.47,16.3,8.2,2024-06-12
No,192.0,yes,0,0.0,2.0,195.5,121,48.31,8.98,6.9,2022-12-23
False,105.0,YES,0,0.0,1.0,279.9,65,61.76,8.07,0.0,2024-08-18
0,192.0,yes,1,1.75,1.0,27.1,118,39.43,10.3,6.6,2022-12-19
No,95.0,yes ,0,0.0,2.0,136.0,84,48.32,14.38,14.1,2024-10-28
No ,62.0,yes,0,0.0,3.0,197.8,96,53.21,10.09,8.7,2025-06-20
No,177.0,yes,1,4.09,0.0,186.3,123,94.15,13.05,15.0,2023-04-03
No,120.0,yes,1,2.59,1.0,205.5,64,75.26,7.59,9.9,2024-05-04
No ,107.0,yes,0,0.0,2.0,221.4,100,55.61,8.02,6.8,2024-08-09
true,137.0,no,0,,2.0,130.6,113,47.2,12.99,9.5,2024-01-07
Yes,162.0,yes,0,0.0,7.0,136.8,88,40.55,9.54,9.3,2023-07-20
No,148.0,yes ,0,0.0,0.0,204.3,92,52.05,9.92,13.1,2023-10-21
No,207.0,yes,0,0.0,1.0,158.9,104,49.66,13.44,10.1,2022-09-04
No,82.0,yess,0,0.0,2.0,133.8,97,36.53,8.1,8.1,2025-01-31
False,138.0,no,0,0.0,3.0,224.7,80,59.2,12.17,12.2,2023-12-31
0,3.0,no,0,0.0,1.0,234.5,131,60.07,9.76,8.6,2026-08-04
NO,117.0,yes ,0,0.0,1.0,211.3,89,50.99,8.76,8.9,2024-05-26
NO,14.0,n0,1,3.01,1.0,172.7,137,74.45,9.3,10.8,2026-05-16
0,,yes,0,0.0,2.0,182.0,112,47.18,7.53,9.8,2025-12-26
0,187.0,yes,1,2.9,0.0,224.0,134,88.99,12.96,10.8,2023-01-23
No,63.0,yess,0,0.0,3.0,148.3,93,35.2,5.74,11.5,2025-06-11
false,54.0,yes,0,0.0,0.0,173.7,77,42.77,7.07,11.0,2025-08-12
No,73.0,yess,0,0.0,1.0,159.1,99,44.76,8.55,5.6,2025-03-30
No ,134.0,YES,1,2.89,3.0,272.0,98,93.96,9.59,10.9,2024-02-02
No,39.0,yes,0,0.0,0.0,104.7,128,40.16,12.88,8.7,2025-11-25
No,136.0,YES,0,0.0,0.0,203.5,84,,8.5,6.0,2024-01-15
False,123.0,yess,1,,1.0,141.7,72,,9.77,16.1,2024-04-17
False,150.0,yes,1,3.18,1.0,162.8,107,85.55,15.66,11.7,2023-10-07
yes,90.0,no,0,0.0,1.0,163.6,84,53.83,14.26,11.5,2024-12-03
False,142.0,yes ,0,0.0,1.0,143.1,90,39.15,6.74,13.1,2023-12-08
false,204.0,YES,0,0.0,1.0,178.7,62,54.21,12.59,8.6,2022-09-26
0,187.0,yes ,1,2.28,3.0,196.2,83,79.44,13.42,8.3,2023-01-27
No ,,yes,0,0.0,2.0,210.0,83,52.01,9.36,16.4,2022-10-18
0,83.0,yes,0,0.0,0.0,157.1,92,45.56,10.38,10.0,2025-01-21
No,127.0,Yes,1,3.48,0.0,179.5,129,86.06,12.11,13.0,2024-03-16
no,202.0,yes,1,3.48,3.0,146.2,146,79.24,11.06,13.2,2022-10-13
No ,4.0,no,0,0.0,1.0,170.8,113,52.85,13.8,8.6,2026-07-30
0,,no,0,0.0,2.0,221.6,99,57.33,12.15,10.0,2024-03-27
False,207.0,yes,0,0.0,0.0,194.3,99,45.74,7.44,6.8,2022-09-04
no,,yes,1,2.76,0.0,214.1,61,79.51,9.11,10.3,
false,,yes,0,0.0,0.0,118.8,100,34.12,8.0,11.5,2025-08-08
Yes,26.0,no,0,0.0,1.0,215.5,60,54.15,10.4,17.6,2026-02-26
0,197.0,yes,0,0.0,1.0,96.5,102,37.78,12.44,9.6,2022-11-15
no,202.0,yes,0,0.0,1.0,182.7,142,53.65,12.31,8.9,2022-10-12
False,160.0,yes ,0,0.0,0.0,257.5,72,62.21,11.09,9.8,2023-07-29
NO,76.0,n0,0,0.0,0.0,207.1,134,50.47,8.4,10.8,2025-03-12
SI,38.0,yes,0,0.0,0.0,247.1,90,60.81,10.92,14.0,2025-12-05
No ,18.0,yes ,1,2.71,0.0,199.3,98,76.13,8.36,10.0,
Yes,151.0,yes,1,1.69,2.0,245.3,105,78.9,11.38,6.0,2023-10-03
No ,138.0,yes,0,0.0,2.0,165.1,100,42.03,7.82,17.3,2024-01-02
false,154.0,yess,0,0.0,3.0,199.6,107,50.32,9.48,13.2,2023-09-15
Yes,50.0,Yes,0,0.0,4.0,303.6,136,77.29,12.9,13.4,2025-09-12
No,94.0,YES,0,0.0,1.0,134.4,86,39.08,8.27,15.4,2024-11-05
no,19.0,yes ,0,0.0,3.0,235.2,97,57.4,9.85,7.0,2026-04-12
No,197.0,Yes,0,0.0,1.0,222.3,115,57.56,10.72,0.2,2022-11-13
No,191.0,yes ,0,0.0,1.0,185.0,109,41.54,5.72,13.1,2022-12-24
True,58.0,NO,0,0.0,1.0,215.3,60,55.42,10.33,17.4,2025-07-17
No,103.0,yess,0,0.0,1.0,112.9,76,38.27,10.57,10.7,2024-09-06
si,145.0,yes,0,0.0,1.0,232.6,102,65.41,14.04,1.9,2023-11-12
No,139.0,YES,0,0.0,0.0,104.1,149,39.51,12.68,14.9,2023-12-28
0,178.0,yes,1,2.51,0.0,213.2,109,80.04,10.7,9.5,2023-03-28
No,1.0,Yes,0,0.0,,205.8,92,50.76,8.86,12.6,2026-08-21
No,46.0,yes,0,0.0,2.0,244.2,97,48.8,4.4,13.7,2025-10-05
Yes,145.0,yes,0,0.0,5.0,112.1,92,28.21,5.79,14.0,2023-11-17
Yes,135.0,yes,0,0.0,0.0,273.5,96,,11.74,7.6,2024-01-21
No ,200.0,yes,0,0.0,0.0,164.8,102,51.16,13.12,13.3,2022-10-28
yes,119.0,no,0,0.0,3.0,135.0,106,39.33,9.14,12.9,2024-05-14
no,6.0,yes ,0,0.0,1.0,205.3,71,48.71,7.71,12.4,2026-07-17
No,161.0,YES,1,2.54,0.0,126.7,110,56.34,5.35,9.1,2023-07-23
No ,26.0,yes,0,0.0,2.0,229.9,129,54.61,7.21,14.2,2026-02-25
No,54.0,Yes,0,0.0,1.0,146.8,105,38.56,5.03,11.1,2025-08-09
0,15.0,yes,1,3.82,2.0,147.3,72,79.93,9.67,14.3,2026-05-12
NO,67.0,yes ,0,0.0,1.0,279.7,106,58.18,4.01,10.0,2025-05-15
false,32.0,Yes,0,0.0,1.0,244.7,126,54.96,7.5,11.8,2026-01-16
0,,NO,0,0.0,2.0,179.3,126,45.67,8.85,11.9,2026-03-09
No,5.0,yes,0,0.0,2.0,192.2,98,56.53,12.51,7.0,2026-07-22
NO,102.0,yes,0,0.0,1.0,180.4,59,55.18,12.53,8.5,2024-09-12
No ,75.0,YES,0,0.0,0.0,231.7,131,49.87,5.82,16.1,2025-03-16
No,87.0,yes,0,0.0,1.0,145.1,115,48.26,11.58,9.0,2024-12-27
0,,YES,1,2.27,0.0,179.1,111,73.83,11.7,8.4,2025-07-27
No ,98.0,yes,1,2.12,1.0,140.5,94,,8.43,7.8,2024-10-08
0,137.0,yes,0,0.0,1.0,237.4,71,59.53,9.32,8.8,2024-01-12
YES,200.0,YES,0,0.0,1.0,321.3,58,68.0,7.78,10.4,2022-10-25
